yop_kodu,bir_kontenjana_talip_olan_aday_sayisi_2025,ilk_uc_sirada_tercih_eden_sayisi_2025,ilk_uc_sirada_tercih_eden_orani_2025,ilk_uc_tercih_olarak_yerlesen_sayisi_2025,ilk_uc_tercih_olarak_yerlesen_orani_2025
203210025,"19,5",33.0,"16,9",0.0,"0,0"
203210113,"4,2",7.0,"15,2",2.0,"20,0"
203210149,"24,9",80.0,"29,2",0.0,"0,0"
203210185,"17,9",35.0,"24,5",4.0,"57,1"
203210194,"4,7",124.0,"65,6",39.0,"97,5"
203210228,"17,2",26.0,"25,2",3.0,"60,0"
203210237,"2,9",43.0,"49,4",23.0,"92,0"
203210264,"6,8",9.0,"12,0",1.0,"9,1"
203210273,"5,1",21.0,"41,2",9.0,"90,0"
203210307,"22,9",58.0,"25,3",4.0,"40,0"
203210325,"4,6",94.0,"51,4",35.0,"87,5"
203210343,"12,5",10.0,"10,0",0.0,"0,0"
203210352,"3,0",55.0,"44,0",34.0,"87,2"
203210388,"32,6",53.0,"12,5",4.0,"33,3"
203210397,"13,3",23.0,"28,8",3.0,"75,0"
203210413,"3,6",45.0,"50,0",22.0,"88,0"
203210449,"12,1",20.0,"20,6",3.0,"37,5"
203210458,"19,5",73.0,"34,0",8.0,"72,7"
203210476,"2,7",115.0,"71,4",51.0,"86,4"
203210485,"2,1",47.0,"53,4",29.0,"90,6"
203210519,"6,9",137.0,"36,1",53.0,"96,4"
203210573,"13,4",25.0,"20,7",2.0,"25,0"
203210591,"3,0",58.0,"51,8",30.0,"93,8"
203210679,"24,0",38.0,"19,8",1.0,"14,3"
203210731,"17,3",98.0,"21,0",4.0,"16,7"
203210749,"6,1",314.0,"41,4",73.0,"58,4"
203210934,"7,8",10.0,"21,3",1.0,"20,0"
203210952,"10,9",26.0,"21,7",4.0,"40,0"
203210979,"3,8",56.0,"34,6",30.0,"85,7"
203211014,"14,8",43.0,"29,1",4.0,"44,4"
203211068,"12,5",21.0,"28,0",2.0,"40,0"
203211086,"5,3",52.0,"39,4",24.0,"96,0"
203211095,"12,2",26.0,"35,6",4.0,"66,7"
203211111,"1,8",19.0,"52,8",13.0,"100,0"
203211129,"26,5",40.0,"18,9",5.0,"62,5"
203211138,"24,3",27.0,"13,9",1.0,"14,3"
203211156,"2,1",34.0,"40,5",24.0,"80,0"
203211165,"11,7",17.0,"24,3",5.0,"100,0"
203211226,"2,6",13.0,"25,5",6.0,"75,0"
203211235,"28,3",60.0,"30,3",2.0,"33,3"
203211244,"3,3",74.0,"63,8",28.0,"80,0"
203211277,"24,2",26.0,"17,9",3.0,"60,0"
203211279,"0,5",1.0,"7,1",1.0,"25,0"
203211283,"13,2",21.0,"26,6",3.0,"60,0"
203211285,"3,4",51.0,"60,0",23.0,"92,0"
203211288,"1,1",5.0,"45,5",5.0,"100,0"
203211289,"8,2",21.0,"42,9",3.0,"60,0"
203211290,"1,8",13.0,"36,1",5.0,"71,4"
203211291,"11,3",27.0,"21,8",2.0,"20,0"
203211292,"4,4",97.0,"45,1",43.0,"87,8"
203211293,"10,6",31.0,"29,2",4.0,"44,4"
203211294,"4,0",96.0,"57,8",36.0,"85,7"
203211295,"9,8",5.0,"8,5",3.0,"60,0"
203211296,"1,6",8.0,"25,8",4.0,"100,0"
203211297,"2,1",18.0,"43,9",13.0,"81,3"
203211298,"6,7",12.0,"30,0",2.0,"40,0"
203211299,"11,1",17.0,"19,1",2.0,"28,6"
203211300,"4,0",45.0,"31,3",26.0,"83,9"
203211302,"12,1",29.0,"34,1",4.0,"66,7"
203211303,"2,1",46.0,"60,5",28.0,"100,0"
203211312,"1,5",19.0,"42,2",6.0,"100,0"
203211319,"2,2",13.0,"41,9",7.0,"100,0"
203211326,"2,8",56.0,"50,5",37.0,"92,5"
203211333,"2,0",1.0,"25,0",,
203211347,"3,5",23.0,"31,1",12.0,"85,7"
203211354,"5,1",41.0,"38,0",19.0,"90,5"
203211361,"5,7",41.0,"51,3",14.0,"100,0"
203211368,"3,7",21.0,"51,2",8.0,"88,9"
203211382,"3,4",8.0,"23,5",3.0,"100,0"
203211389,"2,8",12.0,"35,3",8.0,"88,9"
203211396,"2,1",6.0,"35,3",1.0,"100,0"
203211403,"2,2",55.0,"49,1",28.0,"84,8"
203211410,"4,0",3.0,"37,5",,
203211417,"2,8",37.0,"33,3",21.0,"91,3"
203211424,"4,2",26.0,"44,1",11.0,"78,6"
203211431,"4,2",65.0,"41,4",32.0,"86,5"
203211438,"4,2",6.0,"24,0",1.0,"50,0"
203211459,"2,4",14.0,"35,9",3.0,"75,0"
203211466,"4,6",13.0,"17,8",10.0,"62,5"
203211480,"2,0",3.0,"75,0",2.0,"100,0"
203211487,"4,9",16.0,"17,0",10.0,"100,0"
203211522,,,,,
203211585,,,,,
203211515,,,,,
203211599,,,,,
203211550,,,,,
203211529,,,,,
203211536,,,,,
203211578,,,,,
203211543,,,,,
203211494,,,,,
203211606,,,,,
203211564,,,,,
203211557,,,,,
203211592,,,,,
203211508,,,,,
203211571,,,,,
