yop_kodu,bir_kontenjana_talip_olan_aday_sayisi_2025,ilk_uc_sirada_tercih_eden_sayisi_2025,ilk_uc_sirada_tercih_eden_orani_2025,ilk_uc_tercih_olarak_yerlesen_sayisi_2025,ilk_uc_tercih_olarak_yerlesen_orani_2025
201990481,"23,6",67,"20,3",3.0,"25,0"
201990477,"19,9",37,"15,5",1.0,"9,1"
201990507,"24,4",52,"15,2",4.0,"33,3"
201990483,"27,6",23,"8,3",0.0,"0,0"
201990479,"23,4",13,"7,9",0.0,"0,0"
201910218,"22,3",8,"9,0",1.0,"25,0"
201990475,"17,7",24,"15,1",1.0,"12,5"
201990559,"26,1",25,"13,7",2.0,"33,3"
201910306,"45,1",65,"9,6",2.0,"13,3"
201990515,"18,4",23,"10,4",0.0,"0,0"
201990496,"17,6",12,"6,8",0.0,"0,0"
201910103,"22,8",17,"12,4",1.0,"20,0"
201910324,"17,2",29,"14,1",0.0,"0,0"
201990505,"11,7",16,"13,7",5.0,"55,6"
201910351,"40,5",54,"10,3",2.0,"18,2"
201990487,"21,3",8,"5,4",1.0,"16,7"
201910387,"42,3",33,"9,8",0.0,"0,0"
201991014,"14,1",372,"41,3",62.0,"96,9"
201990972,"13,5",289,"40,4",46.0,"86,8"
201990944,"6,8",104,"32,7",43.0,"91,5"
201990846,"5,0",86,"38,1",44.0,"97,8"
201991007,"22,9",157,"38,1",15.0,"83,3"
201990986,"10,6",114,"34,7",25.0,"80,6"
201990769,"8,8",7,"20,0",1.0,"33,3"
201991028,"8,0",115,"32,0",32.0,"71,1"
201990965,"12,0",61,"31,8",5.0,"31,3"
201991021,"7,5",26,"24,8",5.0,"35,7"
201990958,"3,9",44,"27,3",24.0,"88,9"
201990776,"4,6",50,"35,0",30.0,"96,8"
201990937,"8,4",32,"27,1",11.0,"78,6"
201990951,"1,7",1,"4,5",,
201990874,"1,3",1,"10,0",,
201990881,"2,3",52,"34,0",31.0,"93,9"
201991560,"129,7",263,"29,0",0.0,"0,0"
201991574,"7,0",69,"33,8",21.0,"72,4"
201991567,"8,0",10,"25,0",4.0,"80,0"
201990895,"1,3",24,"36,4",12.0,"75,0"
201990888,"0,4",0,"0,0",,
201990902,"2,5",2,"20,0",,
201990909,"2,8",71,"42,8",35.0,"83,3"
201990839,"5,7",11,"32,4",5.0,"83,3"
201990979,"4,7",11,"26,2",7.0,"77,8"
201991000,"2,0",15,"20,3",7.0,"77,8"
201990480,"3,4",36,"33,3",27.0,"84,4"
201990916,"2,0",1,"16,7",,
201910527,"2,9",25,"28,7",13.0,"92,9"
201910606,"3,7",21,"33,3",14.0,"82,4"
201910042,"41,0",96,"26,0",3.0,"37,5"
201990741,"2,2",31,"36,0",22.0,"81,5"
201990734,"8,0",2,"12,5",,
201910493,"1,2",12,"24,5",6.0,"85,7"
201910033,"6,0",0,"0,0",0.0,"0,0"
201990552,"21,3",33,"14,1",6.0,"54,5"
201990530,"46,4",75,"23,1",2.0,"33,3"
201911119,"9,5",33,"15,1",10.0,"43,5"
201911094,"34,8",182,"27,5",6.0,"35,3"
201911085,"0,5",3,"8,3",3.0,"33,3"
201991581,"0,4",0,"0,0",,
201990930,"1,2",26,"32,5",3.0,"75,0"
201990923,"1,0",0,"0,0",,
201990499,"16,4",32,"16,2",1.0,"9,1"
201990501,"13,2",25,"15,8",1.0,"9,1"
201910087,"23,3",68,"19,5",4.0,"28,6"
201910157,"21,7",38,"13,5",1.0,"9,1"
201990485,"14,5",36,"19,1",1.0,"9,1"
201990853,"37,5",87,"23,2",6.0,"60,0"
201910139,"31,8",54,"14,2",1.0,"9,1"
201910642,"19,1",15,"8,7",2.0,"25,0"
201910915,"5,2",183,"48,7",67.0,"93,1"
201990832,"8,2",154,"43,6",38.0,"88,4"
201990527,"4,6",101,"38,7",55.0,"96,5"
201910078,"11,3",32,"31,4",8.0,"88,9"
201990825,"4,1",25,"37,9",13.0,"81,3"
201990526,"10,3",27,"37,5",7.0,"100,0"
201990867,"11,9",182,"37,4",38.0,"92,7"
201990818,"7,3",161,"37,4",53.0,"89,8"
201910748,"6,7",144,"35,6",56.0,"93,3"
201990860,"13,7",44,"24,7",10.0,"76,9"
201910669,"9,2",196,"39,3",50.0,"92,6"
201990811,"10,3",20,"24,4",7.0,"87,5"
201910121,"15,1",27,"22,3",6.0,"75,0"
201910148,"12,4",20,"20,2",6.0,"75,0"
201910633,"8,0",5,"15,6",3.0,"100,0"
201991609,"4,0",35,"30,4",11.0,"78,6"
201991602,"6,0",4,"13,3",2.0,"66,7"
201991595,"73,4",107,"20,8",0.0,"0,0"
201990385,"0,9",12,"30,0",5.0,"62,5"
201991105,"1,5",2,"22,2",2.0,"50,0"
201990225,"42,4",110,"25,9",5.0,"55,6"
201991616,"51,0",73,"20,4",2.0,"33,3"
201991623,"1,4",1,"10,0",,
201991630,"3,3",22,"24,7",13.0,"100,0"
201910703,"2,5",35,"33,0",21.0,"87,5"
201991042,"0,6",2,"9,5",1.0,"33,3"
201991077,"2,6",2,"11,1",0.0,"0,0"
201991112,"0,7",0,"0,0",,
201991119,"35,8",67,"20,8",3.0,"37,5"
201991126,"58,8",213,"30,2",8.0,"66,7"
201991154,"1,6",22,"26,5",8.0,"61,5"
201991070,"1,5",2,"22,2",,
201990234,"21,1",78,"37,0",6.0,"66,7"
201990394,"0,9",16,"38,1",10.0,"83,3"
201990513,"16,1",55,"26,3",7.0,"63,6"
201990511,"8,2",26,"28,9",6.0,"66,7"
